otu	Superkingdom	Phylum 	Class	Order	Family 	Genus	Species 
710fd693ff5092a9e797c541f5b3e224	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae	__
5995cfcc4379c676b938030f615ef9e8	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas	__
b968098705cf0fb6735f51781afa0c4a	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	uncultured Veillonellaceae bacterium
9a8c24747ca0d3771ea11dd500ddc0c8	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae UCG-003	__
7a56eb890840d30051ac13b27e5fe433	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	__
4647e98163982f87d4a42c2692db5907	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	gut metagenome
1e5c0e58d04caebe0bf79bc3a256a341	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	__
5a1806d10f13470fe81c43c6e926ed39	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	__
839754bf4aef206394dc5df8168efe38	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	__
071d608556152457a7aafd030b27731f	Bacteria	Firmicutes	Clostridia	Clostridiales	__	Clostridiales	__
aca6515b3cf8a334c2f317cc951d0147	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 7	Massiliprevotella massiliensis
7e42e5285344ba19d88c28e719b8c5b7	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia	uncultured bacterium
27ca29a04c426a28399fb0ed50f16372	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	__
bd81c31e5f624ac50e57dcb34709fe00	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	uncultured Roseburia sp.
cc555b93079efa21f119b00f9c5502c8	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	uncultured bacterium
9d10499c6ead5db5876bf550494a40cd	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Parasutterella	__
143fe848e0a635be1479e138f746ebad	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	__
51ad0deb6331cb77f17cde5970059539	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	__
ca6f799c2ae6f15e62433b6bb52679b5	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	__
e4d0bf4580af9e52d8f72ce349f0c9e4	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] ruminantium group	uncultured bacterium
fa1044bc45579d60c78d90f253934745	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] gauvreauii group	__
a3192353b069adb0709dd8e77ee1e8dc	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	__
432a3973940ff056fc1d3aa5a2e3e9f2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	__
5b6a5b7344933837f8f2cc09a329ffda	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 2	__
61584047f1491ee1a2cc57d8fe40f257	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	__
231fd02205bbcfb3fb0f1d33b81a94ba	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	__
2437ee7cd5647ac6a0097c0fc4446e8a	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	CAG-56	uncultured bacterium
b7a6ec0a6fc2079d4ffcb606e26959cc	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	uncultured organism
855465f4a876dd4a818b6ab8cfcc64e8	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 1	__
7eae3f4abe111fd5da2b6ce042b96e84	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-002	uncultured rumen bacterium
7032c42335009f70af95125d9bdf07a3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] eligens group	__
022861e011ca7b12c6f721c32df643ae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides plebeius
909e5552fed630e5394a3e1d05a5091b	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium	__
309785db4acce012b6ae476607b39beb	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	__
874f6113d6675f17587243cece3403b9	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	uncultured prokaryote
6c99324c263629a8c87bd01dd332dc94	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-003	__
f78b0fc7e086ac5af45063cb5379e530	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 6	__
e0f783916a650acf0871d51f3ee5d09a	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	__
dc2174387c2832ec62e5b074460e49eb	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprocola DSM 17136
4336a4286d808a692986bb82ad2dbc5b	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 5	__
dc437d99dfbcb1c2389e2033d0704ecf	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	gut metagenome
696eeee9e841f0f38897c671271b60f2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae	__
1b63fcddee223aef213d3bc4a1c348b4	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	Butyricicoccus sp. K4410.MGS-46
ae754e5898735b33df0441abc1868efe	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	uncultured Firmicutes bacterium
ca18e521cb34a8adce1364fd4170b7ca	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	gut metagenome
091ffac2a0a9710cf265e61a97996d7a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	gut metagenome
ead24ae86ae5772d858b6fb33b4233ec	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] gnavus group	__
63cbeb452e2cd9be0bdb34724890b26f	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum
6d6d824e1e7bee7e964931d24ece2615	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	gut metagenome
28d09ed9b50d857ec16152d8aa0e121d	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Intestinibacter	__
ca85449d857b49ae90d77596c9361cbe	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] xylanophilum group	uncultured organism
ae34abbaa5b19b31c9d0049324adb2de	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	__
c69cda2738dc70f24519bb55692296d8	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae ND3007 group	__
737a078307d2d95f8231bd6b7e48d7dc	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	human gut metagenome
30d21d1003ab2f2c3e46978d15b5a622	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	uncultured bacterium
dd312c4b28b097dc61c353c998e88331	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 5	uncultured organism
3b9f8f40b09a6eac5cb5bbac58993d06	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	__
ca68f661435877a6d649e7ac70e68a89	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Eubacterium ramulus
8a6b4a28dcfabe03b885a816df53ae29	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	__
9493728e4f605c530d332fa7081f6507	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured Porphyromonadaceae bacterium	uncultured Porphyromonadaceae bacterium
779e07c6a3f9ca84ed040b9e4a534306	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] ventriosum group	__
e4029522eb431d33da5ec11ce7201d76	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	__
35d2eb5d2fcbec1d0b09c0c81aa34e42	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	__
03d866a2997befc87f5c4cb285ad35c8	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured bacterium
15e995e83c893470cde33a63554a13ae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	uncultured organism
ba0c901fc98c223a027b97631c1a2d58	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39	uncultured bacterium	uncultured bacterium	uncultured bacterium
3d01e777ab7966a9b8f70e4b0ed5f92d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	metagenome	metagenome
9fccada618d9a227d655f58cfc7011ae	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	uncultured delta proteobacterium
7809abcacff89846ac46e649a778920a	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	TM7 phylum sp. oral clone DR034	TM7 phylum sp. oral clone DR034
61536a673f5a65129694b399ce22082e	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	uncultured	uncultured Eubacterium sp.
fe00557d9be1b0bc0b2838dbabfcbcb2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	UBA1819	__
c08f7014ba5e7f3eefed934da09b937e	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	uncultured bacterium
b5da5e859d4df6720dec19b2796bf2f4	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 6	gut metagenome
60b0272ee02b99edb6d093916885b276	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Gordonibacter	unidentified
883610fdc209c4db37645023eca71adc	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	__
8499eb39843415db393be50af0bb313a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris ATCC 43183
547a80632d1b45c9ab736597a4717ce6	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	gut metagenome
b1f49aecc130031bde73a1590adba5db	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	uncultured organism
751556bb0f7287262bee7ede759a6ad7	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	Family XIII	__
c1bda8228c470fdce7a5bde45b5fe0ba	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides eggerthii DSM 20697
d34ffaaa483c8e964a9526ee06dafe67	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	uncultured	__
582eef97e2aa6eb85d2889419d3b48db	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	__
745ca88d0349317a886218ea1b536c8c	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
bd6eb9248d7bf5e2ca70a63d5f911b36	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	__
14efa457bf496cf544940e2139bcba15	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	human gut metagenome
1aaccd0cce00e9cf179e9739e8a2dc69	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	__
ffc044695e391717096c69ce960f3291	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	__
229039d1b69ffd838863645ffed8ea7e	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	Gastranaerophilales	Gastranaerophilales	__
ad4cd5d588129069899b6d0c45e64102	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	__
428ca42a496ee658d0f4a36af68af7fa	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Prevotellamassilia timonensis
25c0fc05cc4362bc09023f49a78807fd	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter	__
fcbd1652b3cf63ced4ec2e1d5a477bc6	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39	Mollicutes RF39	Mollicutes RF39	__
03eab268de679fee80bf59ac6c01f33b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes obesi
2565fd4b833acd467826a4348df0754e	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Chloroplast	Chloroplast	__
700646a9634400064bb9a999f70261f5	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	__
e7f391cf4aece7f252c29fb3d3a6b7ce	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	uncultured bacterium
41f4fd3b6d2c004286c80ee5b886e55c	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	__
91e59c8469173798d92f8e9b07f86f8d	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Howardella	__
6b5cefcaf2c763625299668325ee6e9f	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Sarcina	__
88c22f7a07002b83e04d8d840a9bebda	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. N15.MGS-157
4e2145ac64ff3aa6c2e8206d874d5d5d	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella 3	unidentified
a26d1de867866b352ff15ec5b048b3b0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	__
58859533439c20ac42ef998f2866a44d	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	Lachnospiraceae bacterium DJF_VP52
9540f49a825202f0b427e6023e05cb6b	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	uncultured bacterium
84870cf0381c09e8d0fd1cf72335b380	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39	gut metagenome	gut metagenome	gut metagenome
f9b4999818b5b91687909e79de77eccd	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	__
7bce0a3246c87665a916f4c89405a61a	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	__
884ccae1124f593266e9457d52bc75c2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae FCS020 group	uncultured organism
38a1ba8cd250abff433109c8d0a59d04	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	uncultured Spirochaetales bacterium
cfb0ab034e008da6956da97bcda0b21d	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	uncultured bacterium adhufec40
7cb372ebba726d1015a594181e09755e	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Negativibacillus	__
8cbfcaaed76dc1380f8cae1df55ba93e	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39	metagenome	metagenome	metagenome
02739fbfa6918cf20f8b78307e6e8565	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	uncultured bacterium
9ff2e9172f7e612df7ef18383ee12a12	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella	gut metagenome
3ade9b3b1495e534b9964a59403b665d	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-004	uncultured bacterium
7f7b0bc0cd89441358c9a34a30e17456	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	__
0e3af797ee049d33a81f34fc46fad134	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	__
25cbee7379ffb465601e82516932200a	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-010	uncultured organism
6a65f29eade4176e919a28c104b89244	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella tanakaei YIT 12063
429528823edb55fa5e24e1f20b322a57	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	__
1b2bb33bd7405c7610e69b79376ab45e	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 2	uncultured organism
ea86efee88b1bb3a30634fdd2ed2f1c9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Faecalibacterium prausnitzii
4f94405ae0430e6becb26612f0abfbf7	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	__
c7254628dc2b7d2f270c34af50bf2854	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	__
152eaa9c5c47f4cc03e4184ec4999d83	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	gut metagenome
de90a6a01d2ba2c6b8b4bd9cb9d9ab42	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	gut metagenome
34305f6a69539431a957f9473a7cd9e8	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis	uncultured	gut metagenome
2efda4b18169f7b1a01802c366161f30	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Negativibacillus	uncultured bacterium
d656505cd122900318c5981a1291d496	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes indistinctus YIT 12060
7f8da592483f1b33e73b3b5d973e2630	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella 4	__
596710e8dae48a41fbb37be8fb51d978	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Allisonella	uncultured bacterium
56d69f0d4aaf33db647f26ff8c772b9e	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 2	__
e1e99215ab674624ffc399236d32b1f4	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae FCS020 group	uncultured Clostridium sp.
8762d5816ca6a47d96eb576e9a382bd1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae NK3B31 group	uncultured organism
71018b2bf949ae13856c0e28add26172	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae	__
5cb20cfcb7ae7b0bc7f876a7d34992c7	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	uncultured bacterium
3a271a5a666620af66f2bb0587ba3da0	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	Candidatus Melainabacteria bacterium MEL.A1	Candidatus Melainabacteria bacterium MEL.A1	Candidatus Melainabacteria bacterium MEL.A1
7a38432efbc6292569d70be513337097	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	uncultured	__
b200f7ce9387a84f5a836ae805af4a93	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	uncultured	uncultured bacterium	uncultured bacterium
b8013ca17d0185fd6ceeee107d15b884	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurellaceae	__
b7ffa63bb4038dade40d2e1958ed863c	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	Clostridium sp. CAG:306	Clostridium sp. CAG:306	Clostridium sp. CAG:306
f7e99d08d46b85db0ea1a26ffc259110	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Libanicoccus	uncultured bacterium
60d7fd4aea32c6c3977b5ce79ae81e74	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 5	gut metagenome
3c83a1e576dc317bafb1b50630ea9d05	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 9	uncultured Clostridia bacterium
2158844a9b6c3c848ed041fd03daac9f	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	__
bc3c292a0479834ec39e79dcc264ec84	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Bacteroides] pectinophilus group	uncultured bacterium
8d19d06b7afb73b3626605a93b404981	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	Mogibacterium	uncultured bacterium
152d2d45fcb224375902002942f896c0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-003	uncultured bacterium
d5c38a44259ac2fc1e7d3ef8a5f6b4fa	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	__
1c339e933675fd3c8e4db19750aadd39	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 2	uncultured bacterium
75abfe1fa3ec98fe69bd65050f714c9d	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] xylanophilum group	__
937824b285de37c50ba2805057289975	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Moryella	human gut metagenome
